ID,ARFFS,SEDE,DEPART,AÑO,MES,NOMCOM,NOMCIE,TIPPROD,PRODUC,DIMENS,UNID,PRECIO,OBSERV,RECURSO
28711,GORE HUANUCO,HUANUCO,HUANUCO,2020,ENE,EUCALIPTO,EUCALYPTUS GLOBULUS,LEÑA,LEÑA,,CARGA,20.00,,MADERABLE
28876,GORE HUANUCO,HUANUCO,HUANUCO,2020,DIC,EUCALIPTO,EUCALYPTUS GLOBULUS,LEÑA,LEÑA,,CARGA,20.00,,MADERABLE
30912,GORE HUANUCO,HUANUCO,HUANUCO,2021,ENE,EUCALIPTO,EUCALYPTUS GLOBULUS,LEÑA,LEÑA,,CARGA,20.00,,MADERABLE
31077,GORE HUANUCO,HUANUCO,HUANUCO,2021,FEB,EUCALIPTO,EUCALYPTUS GLOBULUS,LEÑA,LEÑA,,CARGA,20.00,,MADERABLE
31242,GORE HUANUCO,HUANUCO,HUANUCO,2021,MAR,EUCALIPTO,EUCALYPTUS GLOBULUS,LEÑA,LEÑA,,CARGA,20.00,,MADERABLE
60830,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2019,JUN,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
60850,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2019,JUL,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
60870,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2019,AGO,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
60890,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2019,SET,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
60910,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2019,OCT,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
60930,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2019,NOV,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
60950,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2019,DIC,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
60970,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2018,ENE,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
60990,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2018,MAR,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
61010,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2018,ABR,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
61030,ATFFS SELVA CENTRAL,CHANCHAMAYO,JUNIN,2018,MAY,ACHIOTE,S/D,PLANTAS MEDICINALES,HOJA,,KG,2.80,,NO MADERABLE
