UBIGEO,NOM_DEP,NOM_PROV,NOM_DIST,COD_ REG_NAT,REGION NATURAL
020101,ANCASH,HUARAZ,HUARAZ,2,SIERRA
020102,ANCASH,HUARAZ,COCHABAMBA,2,SIERRA
020103,ANCASH,HUARAZ,COLCABAMBA,2,SIERRA
020104,ANCASH,HUARAZ,HUANCHAY,2,SIERRA
020105,ANCASH,HUARAZ,INDEPENDENCIA,2,SIERRA
020106,ANCASH,HUARAZ,JANGAS,2,SIERRA
020107,ANCASH,HUARAZ,LA LIBERTAD,2,SIERRA
020108,ANCASH,HUARAZ,OLLEROS,2,SIERRA
020109,ANCASH,HUARAZ,PAMPAS GRANDE,2,SIERRA
020110,ANCASH,HUARAZ,PARIACOTO,1,COSTA
020111,ANCASH,HUARAZ,PIRA,2,SIERRA
020112,ANCASH,HUARAZ,TARICA,2,SIERRA
020201,ANCASH,AIJA,AIJA,2,SIERRA
020202,ANCASH,AIJA,CORIS,2,SIERRA
020203,ANCASH,AIJA,HUACLLAN,2,SIERRA
020204,ANCASH,AIJA,LA MERCED,2,SIERRA
020205,ANCASH,AIJA,SUCCHA,2,SIERRA
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,2,SIERRA
020302,ANCASH,ANTONIO RAYMONDI,ACZO,2,SIERRA
020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,2,SIERRA
020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,2,SIERRA
020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,2,SIERRA
020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,2,SIERRA
020401,ANCASH,ASUNCION,CHACAS,2,SIERRA
020402,ANCASH,ASUNCION,ACOCHACA,2,SIERRA
020501,ANCASH,BOLOGNESI,CHIQUIAN,2,SIERRA
020502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,2,SIERRA
020503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,2,SIERRA
020504,ANCASH,BOLOGNESI,AQUIA,2,SIERRA
020505,ANCASH,BOLOGNESI,CAJACAY,2,SIERRA
020506,ANCASH,BOLOGNESI,CANIS,2,SIERRA
020507,ANCASH,BOLOGNESI,COLQUIOC,1,COSTA
020508,ANCASH,BOLOGNESI,HUALLANCA,2,SIERRA
020509,ANCASH,BOLOGNESI,HUASTA,2,SIERRA
020510,ANCASH,BOLOGNESI,HUAYLLACAYAN,2,SIERRA
020511,ANCASH,BOLOGNESI,LA PRIMAVERA,2,SIERRA
020512,ANCASH,BOLOGNESI,MANGAS,2,SIERRA
020513,ANCASH,BOLOGNESI,PACLLON,2,SIERRA
020514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,2,SIERRA
020515,ANCASH,BOLOGNESI,TICLLOS,2,SIERRA
020601,ANCASH,CARHUAZ,CARHUAZ,2,SIERRA
020602,ANCASH,CARHUAZ,ACOPAMPA,2,SIERRA
020603,ANCASH,CARHUAZ,AMASHCA,2,SIERRA
020604,ANCASH,CARHUAZ,ANTA,2,SIERRA
020605,ANCASH,CARHUAZ,ATAQUERO,2,SIERRA
020606,ANCASH,CARHUAZ,MARCARA,2,SIERRA
020607,ANCASH,CARHUAZ,PARIAHUANCA,2,SIERRA
020608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,2,SIERRA
020609,ANCASH,CARHUAZ,SHILLA,2,SIERRA
020610,ANCASH,CARHUAZ,TINCO,2,SIERRA
020611,ANCASH,CARHUAZ,YUNGAR,2,SIERRA
020701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,2,SIERRA
020702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,2,SIERRA
020703,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,2,SIERRA
020801,ANCASH,CASMA,CASMA,1,COSTA
020802,ANCASH,CASMA,BUENA VISTA ALTA,1,COSTA
020803,ANCASH,CASMA,COMANDANTE NOEL,1,COSTA
020804,ANCASH,CASMA,YAUTAN,1,COSTA
020901,ANCASH,CORONGO,CORONGO,2,SIERRA
020902,ANCASH,CORONGO,ACO,2,SIERRA
020903,ANCASH,CORONGO,BAMBAS,2,SIERRA
020904,ANCASH,CORONGO,CUSCA,2,SIERRA
020905,ANCASH,CORONGO,LA PAMPA,1,COSTA
020906,ANCASH,CORONGO,YANAC,2,SIERRA
020907,ANCASH,CORONGO,YUPAN,2,SIERRA
021001,ANCASH,HUARI,HUARI,2,SIERRA
021002,ANCASH,HUARI,ANRA,2,SIERRA
021003,ANCASH,HUARI,CAJAY,2,SIERRA
021004,ANCASH,HUARI,CHAVIN DE HUANTAR,2,SIERRA
021005,ANCASH,HUARI,HUACACHI,2,SIERRA
021006,ANCASH,HUARI,HUACCHIS,2,SIERRA
021007,ANCASH,HUARI,HUACHIS,2,SIERRA
021008,ANCASH,HUARI,HUANTAR,2,SIERRA
021009,ANCASH,HUARI,MASIN,2,SIERRA
021010,ANCASH,HUARI,PAUCAS,2,SIERRA
021011,ANCASH,HUARI,PONTO,2,SIERRA
021012,ANCASH,HUARI,RAHUAPAMPA,2,SIERRA
021013,ANCASH,HUARI,RAPAYAN,2,SIERRA
021014,ANCASH,HUARI,SAN MARCOS,2,SIERRA
021015,ANCASH,HUARI,SAN PEDRO DE CHANA,2,SIERRA
021016,ANCASH,HUARI,UCO,2,SIERRA
021101,ANCASH,HUARMEY,HUARMEY,1,COSTA
021102,ANCASH,HUARMEY,COCHAPETI,2,SIERRA
021103,ANCASH,HUARMEY,CULEBRAS,1,COSTA
021104,ANCASH,HUARMEY,HUAYAN,2,SIERRA
021105,ANCASH,HUARMEY,MALVAS,2,SIERRA
021201,ANCASH,HUAYLAS,CARAZ,2,SIERRA
021202,ANCASH,HUAYLAS,HUALLANCA,1,COSTA
021203,ANCASH,HUAYLAS,HUATA,2,SIERRA
021204,ANCASH,HUAYLAS,HUAYLAS,2,SIERRA
021205,ANCASH,HUAYLAS,MATO,2,SIERRA
021206,ANCASH,HUAYLAS,PAMPAROMAS,2,SIERRA
021207,ANCASH,HUAYLAS,PUEBLO LIBRE,2,SIERRA
021208,ANCASH,HUAYLAS,SANTA CRUZ,2,SIERRA
021209,ANCASH,HUAYLAS,SANTO TORIBIO,2,SIERRA
021210,ANCASH,HUAYLAS,YURACMARCA,1,COSTA
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,2,SIERRA
021302,ANCASH,MARISCAL LUZURIAGA,CASCA,2,SIERRA
021303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,2,SIERRA
021304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,2,SIERRA
021305,ANCASH,MARISCAL LUZURIAGA,LLAMA,2,SIERRA
021306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,2,SIERRA
021307,ANCASH,MARISCAL LUZURIAGA,LUCMA,2,SIERRA
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,2,SIERRA
021401,ANCASH,OCROS,OCROS,2,SIERRA
021402,ANCASH,OCROS,ACAS,2,SIERRA
021403,ANCASH,OCROS,CAJAMARQUILLA,2,SIERRA
021404,ANCASH,OCROS,CARHUAPAMPA,2,SIERRA
021405,ANCASH,OCROS,COCHAS,1,COSTA
021406,ANCASH,OCROS,CONGAS,2,SIERRA
021407,ANCASH,OCROS,LLIPA,2,SIERRA
021408,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,2,SIERRA
021409,ANCASH,OCROS,SAN PEDRO,2,SIERRA
021410,ANCASH,OCROS,SANTIAGO DE CHILCAS,2,SIERRA
021501,ANCASH,PALLASCA,CABANA,2,SIERRA
021502,ANCASH,PALLASCA,BOLOGNESI,2,SIERRA
021503,ANCASH,PALLASCA,CONCHUCOS,2,SIERRA
021504,ANCASH,PALLASCA,HUACASCHUQUE,2,SIERRA
021505,ANCASH,PALLASCA,HUANDOVAL,2,SIERRA
021506,ANCASH,PALLASCA,LACABAMBA,2,SIERRA
021507,ANCASH,PALLASCA,LLAPO,2,SIERRA
021508,ANCASH,PALLASCA,PALLASCA,2,SIERRA
021509,ANCASH,PALLASCA,PAMPAS,2,SIERRA
021510,ANCASH,PALLASCA,SANTA ROSA,2,SIERRA
021511,ANCASH,PALLASCA,TAUCA,2,SIERRA
021601,ANCASH,POMABAMBA,POMABAMBA,2,SIERRA
021602,ANCASH,POMABAMBA,HUAYLLAN,2,SIERRA
021603,ANCASH,POMABAMBA,PAROBAMBA,2,SIERRA
021604,ANCASH,POMABAMBA,QUINUABAMBA,2,SIERRA
021701,ANCASH,RECUAY,RECUAY,2,SIERRA
021702,ANCASH,RECUAY,CATAC,2,SIERRA
021703,ANCASH,RECUAY,COTAPARACO,2,SIERRA
021704,ANCASH,RECUAY,HUAYLLAPAMPA,2,SIERRA
021705,ANCASH,RECUAY,LLACLLIN,2,SIERRA
021706,ANCASH,RECUAY,MARCA,2,SIERRA
021707,ANCASH,RECUAY,PAMPAS CHICO,2,SIERRA
021708,ANCASH,RECUAY,PARARIN,2,SIERRA
021709,ANCASH,RECUAY,TAPACOCHA,2,SIERRA
021710,ANCASH,RECUAY,TICAPAMPA,2,SIERRA
021801,ANCASH,SANTA,CHIMBOTE,1,COSTA
021802,ANCASH,SANTA,CACERES DEL PERU,1,COSTA
021803,ANCASH,SANTA,COISHCO,1,COSTA
021804,ANCASH,SANTA,MACATE,2,SIERRA
021805,ANCASH,SANTA,MORO,1,COSTA
021806,ANCASH,SANTA,NEPEÑA,1,COSTA
021807,ANCASH,SANTA,SAMANCO,1,COSTA
021808,ANCASH,SANTA,SANTA,1,COSTA
021809,ANCASH,SANTA,NUEVO CHIMBOTE,1,COSTA
021901,ANCASH,SIHUAS,SIHUAS,2,SIERRA
021902,ANCASH,SIHUAS,ACOBAMBA,2,SIERRA
021903,ANCASH,SIHUAS,ALFONSO UGARTE,2,SIERRA
021904,ANCASH,SIHUAS,CASHAPAMPA,2,SIERRA
021905,ANCASH,SIHUAS,CHINGALPO,2,SIERRA
021906,ANCASH,SIHUAS,HUAYLLABAMBA,2,SIERRA
021907,ANCASH,SIHUAS,QUICHES,2,SIERRA
021908,ANCASH,SIHUAS,RAGASH,2,SIERRA
021909,ANCASH,SIHUAS,SAN JUAN,2,SIERRA
021910,ANCASH,SIHUAS,SICSIBAMBA,2,SIERRA
022001,ANCASH,YUNGAY,YUNGAY,2,SIERRA
022002,ANCASH,YUNGAY,CASCAPARA,2,SIERRA
022003,ANCASH,YUNGAY,MANCOS,2,SIERRA
022004,ANCASH,YUNGAY,MATACOTO,2,SIERRA
022005,ANCASH,YUNGAY,QUILLO,1,COSTA
022006,ANCASH,YUNGAY,RANRAHIRCA,2,SIERRA
022007,ANCASH,YUNGAY,SHUPLUY,2,SIERRA
022008,ANCASH,YUNGAY,YANAMA,2,SIERRA
060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,2,SIERRA
060102,CAJAMARCA,CAJAMARCA,ASUNCION,2,SIERRA
060103,CAJAMARCA,CAJAMARCA,CHETILLA,2,SIERRA
060104,CAJAMARCA,CAJAMARCA,COSPAN,2,SIERRA
060105,CAJAMARCA,CAJAMARCA,ENCAÑADA,2,SIERRA
060106,CAJAMARCA,CAJAMARCA,JESUS,2,SIERRA
060107,CAJAMARCA,CAJAMARCA,LLACANORA,2,SIERRA
060108,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,2,SIERRA
060109,CAJAMARCA,CAJAMARCA,MAGDALENA,1,COSTA
060110,CAJAMARCA,CAJAMARCA,MATARA,2,SIERRA
060111,CAJAMARCA,CAJAMARCA,NAMORA,2,SIERRA
060112,CAJAMARCA,CAJAMARCA,SAN JUAN,2,SIERRA
060201,CAJAMARCA,CAJABAMBA,CAJABAMBA,2,SIERRA
060202,CAJAMARCA,CAJABAMBA,CACHACHI,2,SIERRA
060203,CAJAMARCA,CAJABAMBA,CONDEBAMBA,2,SIERRA
060204,CAJAMARCA,CAJABAMBA,SITACOCHA,2,SIERRA
